Information1.started,Information1.stopped,Space1.keys,Space1.rt,Space1.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,Information1_5.started,Information1_5.stopped,Space1_2.keys,Space1_2.rt,Space1_2.duration,Information2.started,Information2.stopped,Space2.keys,Space2.rt,Space2.duration,Consent.started,Consent.stopped,Space3.keys,Space3.rt,Space3.duration,ProlificID.started,ProlificID.stopped,Textbox1.text,Enter1.keys,Enter1.rt,Enter1.duration,prolificID,Intro1.started,Intro1.stopped,Space5.keys,Space5.rt,Space5.duration,Intro2.started,Intro2.stopped,Space6.keys,Space6.rt,Space6.duration,PracticeTrial.started,PracticeTrial.stopped,AesResp.response,AesResp.rt,ArtResp.response,ArtResp.rt,EndPrac.keys,EndPrac.rt,EndPrac.duration,Intro5.started,Intro5.stopped,Space7.keys,Space7.rt,Space7.duration,Trial1.started,Trial1.stopped,Question1,Response1,Question2,Response2,Slider1.response,Slider1.rt,Slider2.response,Slider2.rt,MoveOn.keys,MoveOn.rt,MoveOn.duration,ITI.started,ITI.stopped,All_trials1.thisRepN,All_trials1.thisTrialN,All_trials1.thisN,All_trials1.thisIndex,All_trials1.ran,videofile,triggers,startingtime,Attention1.started,Attention1.stopped,Question1AC1,Response1AC1,Question2AC1,Response2AC1,Slider1_2.response,Slider1_2.rt,Slider2_2.response,Slider2_2.rt,MoveOn_2.keys,MoveOn_2.rt,MoveOn_2.duration,Intro6.started,Intro6.stopped,Space8.keys,Space8.rt,Space8.duration,Trial2.started,Trial2.stopped,Slider3.response,Slider3.rt,MoveOn2.keys,MoveOn2.rt,MoveOn2.duration,All_trials2.thisRepN,All_trials2.thisTrialN,All_trials2.thisN,All_trials2.thisIndex,All_trials2.ran,Attention2.started,Attention2.stopped,Response1AC2,Slider3_2.response,Slider3_2.rt,MoveOn_3.keys,MoveOn_3.rt,MoveOn_3.duration,Intro7.started,Intro7.stopped,Space9.keys,Space9.rt,Space9.duration,Trial3.started,Trial3.stopped,Question4,Response4,Question5,Response5,Slider4.response,Slider4.rt,Slider5.response,Slider5.rt,MoveOn3.keys,MoveOn3.rt,MoveOn3.duration,All_trials3.thisRepN,All_trials3.thisTrialN,All_trials3.thisN,All_trials3.thisIndex,All_trials3.ran,Attention3.started,Attention3.stopped,Question1AC3,Response1AC3,Question2AC3,Response2AC3,Slider1_3.response,Slider1_3.rt,Slider2_3.response,Slider2_3.rt,MoveOn_4.keys,MoveOn_4.rt,MoveOn_4.duration,Outro.started,Outro.stopped,Space10.keys,Space10.rt,Space10.duration
,,,,,527982,001,2026-06-16_15h23.37.011,AIDance_3Blocks_AI2026_v5,2026.1.2,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,52.4053,60.0796,How much did you LIKE the movements you just watched?,30,How much ARTISTIC SKILL was involved in the movements you just watched?,34,30,7.4742,34,6.8612,space,1.6498,,60.0797,62.0795,0,1,1,4,1,stimuli/MRes_Dance1_Part7_bw.mp4,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,527982,001,2026-06-16_15h23.37.011,AIDance_3Blocks_AI2026_v5,2026.1.2,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,62.0797,71.8461,How much did you LIKE the movements you just watched?,30,How much ARTISTIC SKILL was involved in the movements you just watched?,42,30,8.8292,42,9.5202,space,3.7561,,71.8462,73.849,0,2,2,29,1,stimuli/AI_new13_bw_LUM.mp4,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,527982,001,2026-06-16_15h23.37.011,AIDance_3Blocks_AI2026_v5,2026.1.2,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,73.8502,82.9292,How much ARTISTIC SKILL was involved in the movements you just watched?,82,How much did you LIKE the movements you just watched?,42,82,8.5232,42,7.8705,space,3.0693,,82.9294,84.9292,0,3,3,11,1,stimuli/AI_5_bw_LUM.mp4,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,527982,001,2026-06-16_15h23.37.011,AIDance_3Blocks_AI2026_v5,2026.1.2,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,84.9298,94.4125,How much did you LIKE the movements you just watched?,82,How much ARTISTIC SKILL was involved in the movements you just watched?,48,82,8.7237,48,9.2693,space,3.4706,,94.4126,96.4123,0,4,4,26,1,stimuli/AI_new9_bw_LUM.mp4,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,527982,001,2026-06-16_15h23.37.011,AIDance_3Blocks_AI2026_v5,2026.1.2,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,96.4129,105.0624,How much ARTISTIC SKILL was involved in the movements you just watched?,33,How much did you LIKE the movements you just watched?,48,33,8.394,48,7.7444,space,2.642,,105.0625,107.0623,0,5,5,0,1,stimuli/MRes_Dance1_Part1_bw.mp4,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,527982,001,2026-06-16_15h23.37.011,AIDance_3Blocks_AI2026_v5,2026.1.2,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,107.0626,127.4945,How much ARTISTIC SKILL was involved in the movements you just watched?,33,How much did you LIKE the movements you just watched?,57,33,12.0108,57,12.8575,space,14.4125,,127.4946,129.4973,0,6,6,5,1,stimuli/MRes_Dance2_Part1_bw.mp4,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,527982,001,2026-06-16_15h23.37.011,AIDance_3Blocks_AI2026_v5,2026.1.2,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,129.4977,138.3328,How much ARTISTIC SKILL was involved in the movements you just watched?,57,How much did you LIKE the movements you just watched?,57,57,8.5373,57,7.846,space,2.799,,138.3329,140.3336,0,7,7,24,1,stimuli/AI_new6_bw_LUM.mp4,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,527982,001,2026-06-16_15h23.37.011,AIDance_3Blocks_AI2026_v5,2026.1.2,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,140.3351,150.5984,How much did you LIKE the movements you just watched?,57,How much ARTISTIC SKILL was involved in the movements you just watched?,22,57,9.1248,22,9.6957,space,4.2288,,150.5986,152.6004,0,8,8,12,1,stimuli/AI_7_bw_LUM.mp4,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,527982,001,2026-06-16_15h23.37.011,AIDance_3Blocks_AI2026_v5,2026.1.2,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,152.6024,186.9655,How much ARTISTIC SKILL was involved in the movements you just watched?,60,How much did you LIKE the movements you just watched?,18,60,34.1342,18,33.2588,space,28.3077,,186.9656,188.9652,0,9,9,6,1,stimuli/MRes_Dance2_Part2_bw.mp4,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,527982,001,2026-06-16_15h23.37.011,AIDance_3Blocks_AI2026_v5,2026.1.2,MacIntel,119.047619,,,,,,,,,,,,,,,,,,,,,,m,,,,,,,,,,,,,,,,,,,,,,,,,188.9658,197.8654,How much did you LIKE the movements you just watched?,60,How much ARTISTIC SKILL was involved in the movements you just watched?,29,60,7.952,29,8.7069,space,2.873,,197.8655,199.8665,0,10,10,20,1,stimuli/AI_new1_bw_LUM.mp4,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
